,timeStamp,EMS,Fire,Traffic, Event
52,2017-01-01,1341.0,315.0,593.0, New year 2017
105,2018-01-07,1400.0,594.0,1137.0, New year 2018
157,2019-01-06,1289.0,306.0,683.0, New year 2019
209,2020-01-05,1422.0,291.0,600.0, New year 2020
57, 2017-02-05,1227.0,325.0,605.0, SuperBowl 2017
109,2018-02-04,1263.0,320.0,731.0, SuperBowl 2018
161,2019-02-03,1249.0,465.0,959.0, SuperBowl 2019
213,2020-02-02,1294.0,295.0,645.0, SuperBowl 2020
113,2018-03-04,1380.0,1008.0,2179.0, Natural disaster (storm)
150,2018-11-18,1202.0,437.0,1962.0, Natural disaster (winter storm)
3,2016-01-24,1285.0,534.0,1318.0, Natural disaster (winter storm)
231,2020-06-07,1319.0,991.0,1159.0, Natural disaster (storm)

